id,text,company,positive,negative,notr
91,"Türk Hava Yolları'ndan bilet aldık. 13 Haziran tarihli sabah uçuşu için bir saat erken gittik. Yarım saat kala check-in işleminde kapının kapandığını söyleyip uçağa almadılar. Hem otel paramız hem de uçak paramız gitti. Bizi bir yere yönlendirdiler ve orada çok az bir meblağ verdiler. Bu az miktar, 6 kişi için bir bilet bile alınmaz. Ayrıca, özel parayla aldığımız koltukları da değiştirmişlerdi; uçuş öncesi sistemden gördük. Herhangi bir şekilde telafi edilmesini istiyorum. Beni aramanızı istemiyorum, aynı şeyleri sabah da dinledik zaten. Biletlerimiz başkalarına mı satıldı diye düşünüyorum. Cevap verecekseniz SMS ya da e-posta olarak dönüş yapın. Ya kupon ya da indirim gibi şeyler istiyorum. Olmazsa, ücretimin tamamını iade istiyorum. Az bir meblağ değil.",,,,
92,"Merhaba, Zara'dan 05.06.2024 tarihinde 5329*****67 sipariş numaralı iki ürün aldım. Bir günde kargo firması ile ürünüm geleceğini öğrendim. Fakat bugün oldu, hala kargom elime ulaşmadı. Zara'ya ulaşamıyorum. Telefonlarını arayınca hat düşüyor. WhatsApp'tan zar zor canlı desteğe iki kere sanırım ulaşabildim, adresi tekrar yazıp yönlendirdiklerini söylediler. Kargo firmasına ve kuryeye asla ulaşamıyorum. Ürünüm asla elime ulaşmıyor, sürekli her günün tarihi yazılıp dağıtımda diyor ve ürün elime ulaşmıyor. Yardım edin. Şikayetçiyim, Zara gibi bir firma nasıl bu kadar sorumsuz hem de bu kadar sorumsuz olan kurye şirketi ile çalışır? Bayram arasına gireceğiz ve kargom hala gelmedi.",,,,
93,"Pegasus, satın aldığımız bilete koltuk numarası vermiyor. Fazladan bilet satılmış, belediye otobüsü mü bu? Pegasus'tan bilet alırsanız, kızım 4 saattir havaalanında bekliyor maalesef. Müşteri hizmetlerini arıyoruz, uyuz uyuz konuşan çalışanlar asla çözüm odaklı değiller.",,,,
94,Merhaba Sayın yetkili;Antalya Muratpaşa SSK bolge müdürlüğü ATM sinden 12 Haziran 2024 günü saat 11.20-12.00 saatleri arasında Kuveyt Türk banka kartımla para çekme işlemi yaptım. 1600 TL ve 1000 TL olarak iki ayrı çekim işlemi yapmak istedim. Cihazda işleminiz yapılıyor yazısı geldi. Cihaz sayim yaptı fakat bir müddet sonra işlemim onaylanmadı. Halbuki benim işlemimden 15 dakika önce görevliler ATM ye para yüklemesi yaptılar. Cihazda sorun olduğunu anlayıp 3 parça 500 TL olarak çekim yaptığımda para çekebildim. Daha sonra hesabımı kontrol ettiğimde onaylanmayan 1000 TL nin hesabımdan düştüğünü gördüm. Kuveyt turk de iadesi için işlem başlattım fakat ATM nin bu şekilde bozuk olmasını ve daha önce de işlem hatası aldığımı şikayet ediyorum.,,,,
95,"Beykoz Küçüksu Şahin Usta Kebap'ta böyle kötü bir kebap hayatımızda yemedik. Yanık ve aşırı tuzlu geldi. Yanında bulgur pilavı yerine kebaba yakışmayan beyaz pilav koymuşlar. İncecik kebap porsiyonu doyurucu değil ve 2 kişi porsiyon Adana kebap ve 2 ayran için 800 TL para ödedik. Değse gam yemeyeceğim. Dürüm 200 TL olup porsiyonla dürüm arasında 150 TL fark olması enteresan geldi gerçekten. Kebap bu kadar kötü olamaz. Tadı çok kötü, ince, lezzetsiz, aşırı tuzlu ve üstü komple kömür gibi geldi. Eşim istemediği için bir daha gelmeyiz dedi. 800 TL çok kötü bir kebap porsiyonu yemeye hatta dürüm bile yemeye gidilmez.",,,,
96,Modanisa'dan verdiğim siparişimden 1 adet ürünü iade ettim. İade ettiğim ürünlerle ilgili herhangi bir ödeme yapılmadığı halde iade tamamlanmıştır denildi. Müşteri hizmetleri iade işleminin 1-14 gün arasında olacağını söyledi. Yapılan iade bankaya gönderildiği zaman 1-2 gün içinde hesaba geçer. Daha iade bankaya gönderilmemiş. Bu şekilde insanların paralarını kullanıp iade sürecini uzatmak kurumsal bir firma olan Modanisa'ya yakışmıyor. Bir an önce iade işleminin yapılmasını bekliyorum.,,,,
97,"Merhaba. Türk Telekom Jandarma 40 GB tarifesine geçiş yaptım. Tarife kullanım koşullarında 3 kişiye kadar referans olma hakkı sunuluyor. Türk Telekom faturalı hat kullanıcısı eşim referans sistemi üzerinden benim hattıma geçmek için 6008’e mesaj gönderdi. Ben geçişi onayladığım ise “Mobil hattınızla Referans ettiğiniz numara mevcut tarifesinden kamu tarifesine geçiş yapamaz” şeklinde mesaj geliyor. Türk Telekom çağrı merkezi ile görüşme yaptığımda ise biz halledemiyoruz, Türk Telekom Genel Müdürlüğüne gidip referans formu doldurmam gerektiği söylendi. Fakat Türk Telekom müdürlüğüne gittiğimde referans formunu sisteminin kaldırıldığı, kendilerinin ise bu konuda yapacakları bir işlem olmadığını söylediler. Referans sistemi olmayacaksa neden tarifede 3 kişiye kadar referans olunabileceği belirtiliyor. Bu konuda mağduriyetimin giderilmesini istiyorum.",,,,
98,"Tam anlamıyla büyük bir hayal kırıklığı yaşattı. 15.30 kalkış saati olan ve normal şartlarda maksimum beş saat süren yolculuk, yedi sekiz saate çıktı. Otobüsün içinde bir parça koptuğu için tüm yol boyunca onun sesi duyuldu. Klimaların düzgün çalışmaması nedeniyle bütün yolcular rahatsız oldular. Gerçekten çok yazık, bu kadar paraya bu hizmet asla kabul edilemez.",,,,
99,"Bahis siteleri sabahtan akşama kadar mesaj yağdırıyor. Çözüm bekliyorum, yoksa taahhüt falan dinlemeden hattımı iptal edeceğim. Ne kadar engelleme yaparsam yapayım, numara değişiyor. Bahis firmasından gelen mesajlar değişmiyor. Artık bıktım; adamlar operatörde istedikleri gibi hareket ediyor.",,,,
100,Para yüklememe rağmen limit altı diye yüklemediler geri de iade etmediler. İade talebiniz oluşturuldu 24 48 saat arasında iade edeceğiz dediler fakat herhangi bir olumlu bir şey olmadı. Güncel giriş adresi de ayrıca artık yok ne siteye girebiliyorum ne de yatırdığım parayı alabiliyorum,,,,
101,Bugün mobil bankacılıktan sürekli bu hatayı aldım. Bakkaldan 10 paket sigara alacaktım kare kodu okuttum hata verdi sistemden attı. Şubeye gidip yeniden işlem yaptım düzeldi. Ardından tekrar aynı bakkaldan işlem yaptım şu an hala aynı sorunu yaşıyorum.,,,,
102,"Xiaomi marka scooterımın yasal süre olan 20 iş günü geçmesine rağmen ürünü gelmedi. Ne zaman Hakem Heyeti'ne gideceğimi söylediğimde, hemen 1500 TL karşılığında tamir yapılacağına dair mesaj attılar. Kabul etmedim ve yasal süreç geçti. Hakem Heyeti'ne başvurdum ve sonuç bekliyorum.",,,,
103,İlk martı tag kullanımım sonucunda kazandığım 500TL martı kupon kodunu defalarca girmeme rağmen her girdiğimde kupon kodu geçersiz diyerek hata verdi. Martıyı aradım mail atmamı söylediler. Mail de attım ama geri dönüş olmadı. Son kullanım tarihi de 18 Haziran olarak görünüyor umarım bir an önce çözülür.,,,,
104,"4 Haziran günü Cepte Şok'tan 1042 TL'lik alışveriş yaptım ancak siparişimde eksik ürünler vardı. Aradığımda tedarik edeceklerini ilettiler ancak tedarik sağlanmadı ve geç oldu. Tekrar aradığımda ücret iadesi olacağını ilettiler ama kapıda kredi kartı olduğundan kurye gelip POS cihazı ile iade sağlayabiliyormuş. 9 gündür ne gelen var ne de arayan. Her gün müşteri hizmetlerini aradığımda mağaza ile görüştüklerini, kuryenin geleceğini söylediler. Gelen olmadı. 3 gündür de sözde bölge yöneticisi bizzat konu ile ilgilendiğini, ücret iademin yapılacağını söyledi. Ama ne gelen oldu ne de başka bir şey. Her gün arıyorum, ertesi günü sözde kurye geliyor. Tedarik etmedikleri ürünümün ne tedariğini sağladılar ne de ürün iadesi yapıyorlar. İademi istiyorum.",,,,
105,"Bahçelievler Yenibosna Medipol hastanesinde fizik tedavi bölümünde z***** a***, e****, S*** hanım bu personeller her geldiğimde sorun çıkartıyor ve surat beş karış memnuniyetsiz isteksiz çalışıyorlar ve bu durumun sinirini bizden çıkartıyorlar. Hasta hakları demek ki uyarıları dikkate almıyor ki bu kadar rahat davranabiliyorlar. S*** hanım fizik ücreti 400 TL ödeyeceksiniz deyip e**** hanım 440 TL diyor birbirlerinden haberdar bile değiller herkes rahat şekilde çalışıyor. Demek ki denetleme yapılmıyor paramızla rezil oluyoruz devlet Hastanesi daha iyi ilgileniyor. 40 dakika fizik tedavi uygun görüldü 15 dakikada bitiriyor.",,,,
106,Kargoyu sipariş vereli iki hafta oldu yarın da gelmezse hafta sonu ve araya bayram giriyor yani sonuç bir sipariş elime 20 günde ulaşacak tabi gönderilirse! Hiçbir şekilde müşteri hizmetlerine bağlanmak mümkün değil bir daha asla tercih etmeyeceğim bir site. Rezil hizmet ve iletişim,,,,
107,Migros sanal market siparişimde 1000₺ küsur alışveriş yaptım. Alışverişim teslim edildiğinde 450₺ olan ürünlerim gelmedi ve bana normal fiyat yansıtıldı. Ben fark etmesem öyle durup kalacak. Daha önce de aynı sorunu bir çok kez yaşadım ve hala düzelmiyor,,,,
108,Gaziantep Sani Konukoğlu Bulvarı'nda çalışan personelinizin saygısız ve kurumsallıktan uzak davranışları kabul edilemez. Çalıştığım firma adına yetkili olarak araçları kiralamak için gittiğimde yüzüme bile bakmadılar. Soru sorduğumda ise verdikleri cevaplarla beni son derece rahatsız ettiler.,,,,
109,"26 Mayıs - 2 Haziran tarihleri arasında Benelüx turuna gittik ve pişmanlıkla döndük. Tur ücretinden fazla ekstra turlara para verdik. Oteller şehre uzak bölgelerde olduğu için kendimiz çıkamadık ve en önemlisi, rehber Hanım bizi hep kendi kazanacağı, dışarıda daha ucuzken kendi yönlendirmesiyle daha pahalı yerlere gönderdi. İlgisizdi, ekstra turlara katılmayanların sorularını cevapsız bırakıyordu. Otellere ayakbastı parası ve şoföre bahşiş diye tur sonu 22 € topladılar. Rehber, alışveriş yapılacak güzel yerlerde hemen toplarken, gereksiz yerlerde bizi bekletti. Gidecekseniz kendiniz gidin, turla olacaksa da asla Kappa değil.",,,,
110,"Trabzon Büyükşehir Belediyesi'ne bağlı olan Sahil Ganita Balık Evi mekanına 2024'ün 6. ayının 13'ünde akşam saatlerinde gittik. Bir çay 10 TL, limonata 60 TL, limonlu soda 70 TL. Belediyeye göre bu rakamlar çok yüksek. Meydandaki çay ocaklarında bu kadar fahiş fiyat yok. Belediye halkı düşünmüyorsa halk mı belediyeyi düşünecek? Ayasofya Büfe'de çay 3 TL, meydanda limonata 25 TL ve daha güzel. Buradaki limonata bildiğiniz Nazo. Lütfen gereğinin yapılmasını arz ediyorum. İlgililere duyuruyorum.",,,,
111,"Akbank'ın Fındıkzade ATM'si Allah aşkına bir kere çalışsın. İki seneden fazladır orada olan ATM'den belki toplasan 3 kere para çekebilmişimdir. Ayıp ya, bu işi yapamıyorsanız bırakın, iyi bankalar yoluna devam etsin. İnsanları da mağdur etmekten vazgeçersiniz belki.",,,,
112,"Beso Beach Hotel'den 3 aile tatil satın aldık. Sitenizde yazan hiçbir şey oteldekilerle uyuşmuyor. Bunun mağduriyetini gidermek için otel ile ilgilenen çalışanınızı aradık, gelip uğrayacağını söyledi. Ancak uğramadı bile. İlgi ve alaka sıfır. Konakladığım tarihleri yazabilirim. Otelin yazdığı fast food saati yok. Otelin yemek saatleri ile Tatilbudur'un saatleri uyuşmuyor. Tatil sattığınız otelleri kontrol edin lütfen.",,,,
113,"Boyner'den GAP markalı bir çanta satın almıştım daha ilk taktığımda çantada kesik benzeri bir defo fark ettim. Hemen götürdüm, incelemeye gitti ama kullanıcı kaynaklı olduğunu ileri sürüp reddetmişler. O kesiğin kullanıcı kaynaklı olması imkansız. İnanılmaz nizami bir kesik. Jiletle bile o kadar düzgün zarar veremem çantaya. Muhtemelen üretim kaynaklı ve alırken fark etmedik. Fakat GAP kullanıcı kaynaklı olduğunu ileri sürmüş. Bazı markaların satış sonrası hizmetleri hiç iyi değil. GAP'ta onlardan biriymiş.",,,,
114,"4 gündür siparişlerim kısmını görüntüleyemiyorum. Asistandan görselle beraber şikayet kaydı oluşturdum ancak asla geri dönüş yapılmadı. Israrla arayıp sorunu tekrar bildirdiğimde ise bu konuyla ilgili bir şey yapamayacaklarını, kontrol ettiklerinde bir sorun göremediklerini ileterek kestirip atmayı tercih ettiler. Sizin sisteminizin hatası yüzünden yaşadığım bir sorunu siz halledemiyorsanız kim halledecek onu da anlayabilmiş değilim. Farklı cihaz, farklı tarayıcı diye tutturmuşsunuz. Trendyol'u kullanabilmek için cihazımı satıp yeni cihaz mı almalıyım? Kibar bir dille uygulamayı silin müşteriye ihtiyacımız yok diyorsunuz anladığım kadarıyla. Muazzam bir saçmalık 👏",,,,
115,Saudia Airlines tarafından uçuşuma son 6 gün kaldığında İptal edildiğine dair mesaj alıyorum. Ücret iadesi yapacaklarını söylediler ama bu konuda da yardım etmiyorlar. Maddi zararlarıma yardımcı olunmuyor. Son birkaç gün kala çok basit bir şeymiş gibi bahsediyorlar.,,,,
116,"8 TYT sınavında bss olarak görev yaptım. Bu görev öncesinde il koordinatörlüğünün düzenlediği çevrim içi zorunlu eğitime de katıldım. Tarafıma sınav ücreti olarak 1922 lira yatırılması gerekirken 1368 lira yaptırılmış, eksik olan kısmın tarafıma yatırılmasını talep ediyorum.",,,,
117,Türk Telekom'dan yeni hat aldık ancak taahhüt yapmamıza rağmen fatura tutarı yüksek geliyor. Karşımızda muhatap yok. Neden Türk Telekom hattı alınmaz kendileri yansıtıyor. Türk Telekom hattı pişmanlıktır. Gerekli her merciye şikayetimi ileteceğim. Kampanyalardan yararlanmamak için ellerinden geleni yapıyorlar,,,,
118,MNG Kargo ile e-fabrika internet gönderici bir dosya benim adıma ve ödemeli kargo gelecekmiş. Benim bundan haberim yok. Sorunun çözülmesini ve böyle bir ödeme yapmayacağımı bilmelisiniz. Sorunu çözerseniz sevinirim. E-devlet üzerinden de şikayet ileteceğim.,,,,
119,"1.6 Multijet Linea aracıma sıfır Genmot marka krank mili takıldı ama nafile. Araç 50 km bile yapmadan tekrar yatak sardı, inanılır gibi değil. Biz mağdur olduk. Ettiğim masrafa mı yanayım, aracın yağ pompasına kadar orijinal değişti. Bu markanın yan sanayi olduğunu söylediler, uyum sağlamadığını belirttiler. Tekrar ikinci el orijinal krank mili bakıyorum, hayırlısı bakalım. Bu bayramda araçsız kaldık.",,,,
120,"45 TL'ye hesap aldım, hala gelmedi. Gelmezse iade istiyorum, 1 haftadır bekliyorum. Başka sitelerde alışveriş yaparken hiç böyle bir sıkıntı yaşamadım. Bu sorunu düzeltin, biz de insanız sonuçta. Aksi takdirde dava açacağım ve verdiğim paranın 2 katını alırım.",,,,
121,"Vodafone hatlı telefon internetim kapalıyken bile GB tüketiyor. İnternet kapalı iken GB harcaması çok ilginç. Bir başka konu ise GB ların çok hızlı tükenmesi. 10 günde 32 GB gitti. Video izlemedim, film izlemedim. İnternetim kapalıyken oldu. Devamlı olarak ek paket almaya yönlendiriyorlar. Memnun değilim.",,,,
122,"Merhaba, kapıda ödeme sorunu çok yaşıyorum. İstediğim fiyata ürün alamıyorum. 300 TL'yi geçmiyoruz, o yüzden lütfen bu konuda yardımcı olun ve en azından biraz yükseltin. Kaç kez sorun yaşadım. Birçok kişi kapıda ödeme kullanıyor, o yüzden bu dediğimizi lütfen değerlendirin.",,,,
123,7 Haziran 2024 tarihinde A101 Ekstra sitesinden almış olduğum ürün 'Bir Günde Kargo' diye bir firma tarafından teslim edilmek üzere yola çıkmıştır. Ancak bu firma işini düzgün yapamayan ve vasıfsız kişilerin olduğu bir firma olduğu için 4 gündür ürünümü teslim edememiştir. Ayrıca ne iletişim merkezi ne de kurye düzgün ve tatmin edici bir bilgi verememektedir.,,,,
124,Livashop dan siparişlerimi getiren kişi aynı adam dövmeye gelen biri gibi ters ters bakarak afiyet olsun diye ürünü teslim ediyor. Yani diyor ki başlarım tatlı siparişine. Bana sorarsanız yanlış meslek seçmiş Ankara Çukurambar bölgesinde görev yapan bu arkadaşın elinden nasıl güvenip tatlı yiyeceğiz!?!?,,,,
125,"Ürünüm yanlış geldi. Merhaba, terliklerim yanlış renkte ve numarada geldi. Telafi edilmesini istiyorum. İade etmek istemiyorum çünkü indirimden almıştım, aynı fiyattan almam mümkün değil. Hepsini 39 numara almıştım, sadece mavi ve turunculardan bir tanesi doğru. Turuncu, mavi ve siyah olarak 2'şer adet almıştım.",,,,
126,"Bugün Winstown AVM'de bulunan şubesine Babalar Günü münasebetiyle hediye almak için gittik. Beğendiğimiz ayakkabıyı alacakken tek numara kalmıştı, başka bir ayakkabı daha beğendik ve bu sebeple kararsızlık yaşadık. (Tabii ürünü kendimize almadığımız için tereddütte kalmamız çok normal). Üçümüz ayakkabılar hakkında münakaşa ederken sözde sorumlu beyefendi birden telefonu çıkardı ve birini aradı: 'Abi, senin geçen beğendiğin ayakkabı vardı ya, onun bağcıklısı da geldi. Sana ayırayım mı?' dedi ve bize dönüp bu ayakkabıyı sattık dedi. (İlk beğendiğimizde, bu seri sonu olduğu için tek kaldığını söylemişti). Üçümüz şok içerisinde birbirimize bakakaldık ve mağazayı tabii ki terk ettik. Aynı anda alışveriş yapan bir başka müşteriye de 'Eskiden ihtiyacımız vardı, şimdi ihtiyacımız yok' dediğini duydum. Umarım ürünleri satma konusunda dememiştir, zira Dağkapı şubesine sıklıkla gittiğim bir markanın bu hale düşmüş olması vahim.",,,,
127,Bugün Hakmar marketinden aldığımız kahvelerin tadı ekşi ve çok kötüydü. Bence sıcak soğuk şoklama olaylarından ötürü diye düşünüyorum fakat bu yine de mağduriyetimizi açıklamaz.Kaç paket aldığımız kahveleri denedik hepsi ayrı derecelerde ekşimişlik var.,,,,
128,VakıfBank babamın kartını Media Markt'a kullanıma kısıtlamış. Acil kısıtlama kalksın lütfen. Alışveriş yapamıyoruz şaka gibi.Klima alacağız indirimi bitecek ama biz hiçbir şekilde işlem yapamıyoruzMüşteri hizmetlerini aradık ne zaman açılır kısıtlama kalkar belli değil net bir açıklama yok.,,,,
129,"Valmenti firması, ödemesini alıp getireceğini söylediği ayakkabımızı 5 gün içinde getiremedi ve üzerine bize bilgi verme tenezzülünde bulunmadı. Mağazaya gittiğimizde iade edemeyeceklerini, iade için beklememiz gerektiğini söylediler. Para iadesi yapmamak için bin dereden su getirdiler. Avukatım aracılığıyla kanuni yollara başvuracağım.",,,,
130,"Fuudy.coSiparişim gelmediği gibi iade de yapmadınız, oyalamaya devam ediyorsunuz. Geri dönüş yapan da yok, çağrı merkezini 4 kere aradım geri dönen olmadı, iade yapılmadı. Dakikalarca bekledim, gelen olmadı. İlk açıldığınızdan bu yana sisteminizde ciddi sorunlar oluşmuş. İadenin bu kadar zor olmaması gerekiyor.",,,,
131,"Merhaba, siteden abonelik oluşturuyordum, para alınacağını söylemiyorlardı. 3000 TL para çekildi hesabımdan, iadesini istiyorum. Böyle bir saçmalık olabilir mi? Yardımcı olur musunuz? Herkes şikayetçi, bu nasıl bir işletme? Gerekli yerlere ulaşmak istiyorum.",,,,
132,"Benim sadece iCloud 50 GB olan üyeliğim var, o da zaten 13 lira yazıyor. Ama benim kartımdan 139 lira çekiliyor. Başka aboneliğim ya da üyeliğim yok. Neden 139 lira çekiliyor her ay? Bunu çözerseniz sevinirim. Saçma sapan şeyler aboneliğim yoktur, 139 lira çekilmesinin nedenini öğrenmek istiyorum.",,,,
133,"Bilgilendirme: Sn. A***R T****Z, 22.06.2024 tarihinde vadesi dolan *****7872 numaralı Sari Panjur Konut Paket sigortası poliçeniz vade sonunda Turkiye Sigorta şirketinden yenilenecektir. Ayrıntılı bilgi için Mustafakemalpaşa şubemize başvurabilirsiniz. Detaylı bilgi almak ve taleplerinizi iletmek için 08502022020 numaralı telefondan sigorta şirketine ulaşabilirsiniz. VakıfBank’a ait https://www.saripanjur.com.tr resmi internet sitesinden yaptığım araştırmada “Bankamızdan kullanacağınız konut kredisi için hayat sigortası, konut paket ve DASK sigortaları düzenlenebilir. Kredi kullanan kişiye talep etmesi halinde konut paket sigortası yaptırılabilir ve her yıl yenilenir. Konutlar veya sağlanan kredi ile yapılan meskenler zorunlu deprem sigortasına (DASK) tabidir. Sigortanın yenilenmesi kredi kullananın sorumluluğundadır. Kredi kullanan kişiye talep etmesi halinde hayat sigortası yaptırılabilir.” denilmektedir. Ayrıca Sigorta özel klozunda da “Sigortacının sigorta poliçesini vade bitiminde yenileme zorunluluğu yoktur.” ifadesi yer almaktadır. Yani DASK dışındaki tüm sigortaların kredi kullanan kişinin talep etmesi halinde yapılacağı belirtilmektedir. Bu sigortanın iptal edilmesini istiyorum. İptal edilmez ise ilk önce BBDK ya şikayette bulunup Tüketici Hakem Heyeti ne başvuru yapacağım gereğinin yapılması için ne gerekiyorsa yapacağım",,,,
134,"LG 12000 BTU Dual inverter klima yeterince soğutmuyor.Eski evimde oda küçüktü ve yeterliydi. Taşındığım ev büyük olduğundan büyük beklentim yok. Ancak klimanın altındaki kanepeye uzandığında da bir serinlik hissedersin ya, o da yok. Çözüm bekliyorum",,,,
135,"Ajet'ten Premium bilet almıştık, ekstra diz mesafesi özelliği vardı. Önce online check-in ile kendimiz koltuk seçimini yaptık. Uçağa giderken benim koltuğumun değiştirildiğini söylediler ancak yeni verilen koltuk ekstra diz mesafeli değildi. Koltuğumu değiştirmelerini istedim ancak düzeltilmedi. Neden ben geniş koltuk olsun diye fazla para veriyorum o zaman? Bu yapılan hiç hoş değil. Ayrıca sandviç de biz hatırlatmasak verilmiyordu. Ajet ile çok kötü bir deneyim oldu. 2 saat de rötarlı kalktı uçak zaten. Mümkün olduğunca tercih etmeyi düşünmüyorum artık.",,,,
136,"Şikayet, 13.06.2024 tarihli Bursa - Adana saat 19.00 Metro Turizm seferi ile ilgilidir. Otobüsün plakası 77 ADD 911'dir. Otobüs, saatinde Bursa'dan kalkmamış ve kalktıktan yaklaşık bir saat sonra İnegöl civarında durmak zorunda kalmıştır. Otobüsün klimaları çalışmamaktadır. Sefer başlamadan klimalar kontrol edilememiştir. Otobüs yaklaşık 1 saat yol kenarında bekletilmiş ancak klimaların onarımı yine de yapılamamıştır ve yolculuk klimasız bir şekilde devam etmektedir. Hava sıcaklığının bugünlerde 40 dereceleri bulduğu bir zamanda klimaların çalışmaması büyük bir sorundur. Bu hususta hiçbir şey yapılmamamaktadır. Ayrıca otobüs içerisinde internet de bulunmamaktadır. Muavinlerin davranışları çok kabadır. İkramda da bulunulmamaktadır.",,,,
137,2 gündür Akbank cep şubesine giriş yapamıyorum bana telefonumu sıfırlamam gerektiğini söyleyen mesaj geliyor ben neden telefonumu sıfırlayacakmışım anlamadım çalışmayan cep şubesi sizin benim cep telefonumla ne alakası var. Arıyorum bizde her şey normal bloke yok diyorlar bir çözüm bulamıyorlar. İnşallah bir sakatlık çıkmazda başkaları tarafından hesabımdan para çekilmez,,,,
138,"Yeni çınar maddi destek vakfı’ndan ulaşıyorum, 2024 - 2025 akademik yılında 30 kişilik maddi destek kontenjanımızın doldurulması için bilgileriniz vakıflar Genel Müdürlüğü’nden tarafımıza iletildi. 30 kişilik maddi destek kontenjanımız kapsamında vakfımızdan 2024 - 2025 akademik yılında 9 ay boyunca 2500 TL destek alacaksınız10.09.2024 de başlayacak. Eğer müsaitseniz işlemlerinizi tamamlayalım öncelikle birkaç sorum olacak,Ailede hane sayısı nedir? Ailede çalışan sayısı nedir? Ailede eğitim gören kişi sayısı nedir? Daha önce hiçbir devlet kurumundan destek aldınız mı? Özel bir kurumdan destek aldınız mı?0505 ***19 45 numaralı kişiden böyle bir mesaj aldım. Kendisine vazgeçtiğimi ihtiyacımın kalmadığını belirttim buna rağmen bir işlem yapılırsa sorumlu değilim gereken şikayetlerde bulunacağım...",,,,
139,Uygulamada ilk alışverişte 15% olarak verilen indirim kupon kodunu APP15 olarak girdiğimde indirimli fiyat yansımıyor. İndirimli fiyat üzerinden alışverişi destekleyecek şekilde Koray Spor uygulamasının onarılması gerekmektedir. İki haftadır her gün kodu deniyorum ama çalışmıyor,,,,
140,Saç boyatmak için gittim gömleğime koltuktan açıcı bulaşmış. Bir de fark ettikleri halde söylemiyorlar. Sonra da tam fiyat almaya kalkıyorlar. Tama yakında para ödedim. Pantolonuma da boya sıçradı. Bir de gömlekmiş alınırmış kıyafetmiş alt tarafı. Yoğun çalışıyorlarmış. Ben hatalıyım sanki tavırları çok çirkin. Kesimde yaptırdım az dedim kısacık yaptı saçımı pantolon çıkar diyorlar göreceğiz. Bir de bana özellikle sorun çıkarıyorsunuz dediler şikayetçiyim,,,,
141,"Akbank ekstre kesim tarihini kafasına göre değiştiriyor. Ben bir ekstre kesim tarihi belirliyorum, Akbank bunu kafasına göre değiştiriyor. Sebebi de son ödemesinin hafta sonuna gelmesiymiş. Hafta sonu bankalar ödeme ve işlem yapabilirken ve bunu tüm bankalar yapabilirken, Akbank'ın bu beceriksizliği neden? Kafasına göre ekstre kesim tarihini değiştiremez. Maaşlı olmasam asla kullanacağım bir banka değil. Kesim tarihi belirtirken bunu da belirtmediler.",,,,
142,"Kart numarası 0942 ile biten VakıfBank kredi kartıma 469 TL aidat ücreti yansıtıldı. Uzun zamandır kullanmadığım kredi kartımı kapattım, ancak kart aidat ücretini iptal edemiyorum. Konuştuğum müşteri temsilcileri de çözüm bulamadı. Kart aidat ücreti haksız bir uygulama olduğu gibi kapattığım karttan bu ücretin istenmesini kabul etmiyorum. Kart aidat ücretinin iptalini istiyorum, aksi halde bir daha VakıfBank kredi kartı kullanmayacağım ve var olan hesaplarımı kapatacağım.",,,,
143,"Sonu 6091 ile biten Yapı Kredi Worldcard kredi kartıma 12/06/2024 tarihinde yansıtılan 586,50 TL üyelik ücreti yansıtılmış. Kartımı kullanmaya başlayalı daha 6 ay oldu ve kart başvurusu yaptığımda üyelik ücreti müşteri hizmetleri arandığı takdirde geri iade oluyor dendi. Görüşmelerde ses kaydı vardır. Aşağıda belirtilen kanun hükümleri gereği ve ekstra hiçbir şarta bağlanmaksızın iptal edilip tarafıma iade edilmesini istiyorum. Tüketici Kanunu 28 Mayıs 2014 31. Madde 3. Fıkra: Kart çıkaran kuruluşlar, tüketicilere yıllık üyelik aidatı ve benzeri isim altında ücret tahsil etmedikleri bir kredi kartı türü sunmak zorundadır. 4822 sayılı Kanun ile değişik 4077 sayılı Tüketicinin Korunması hakkında Kanun'un sözleşmedeki haksız şartlar başlıklı 6. Maddesi gereğince bankanızın almakta olduğu üyelik ücreti herhangi bir hizmet karşılığı olmadığından, söz konusu sözleşme şartı önceden hazırlanmış özellikle standart sözleşmede yer alması nedeniyle içeriğine etki edilmeyip müzakere edilemediğinden haksız şarttır. 13. Hukuk Dairesince verilen 2011/4736 esas 2011/11579 sayılı son karara göre söz konusu yıllık kart ücreti aidatının bk. 125. Madde HGK 2010/1-93-88 sayılı karar uyarınca geriye dönük kesilen kart aidatlarının da iadesinin olacağına dair de kesin hükmü bulunmaktadır. Üyelik ücreti olarak alınan 586,50 TL aidat ücretinin tarafıma iadesi hususunda gereğinin yapılmasını, üyelik ücretinin iptalini ve tarafıma iadesini talep ediyorum. Bu durumun ivedilikle kurum tarafından çözüme ulaştırılmasını talep ederim.",,,,
144,"Her yıl bu aylarda mahallemizde elektrik kesintisi yaşıyoruz, elektrikli ev aletlerimiz zarar görüyor bunun masrafını kim karşılayacak? Her dönem aynı sorunu yaşamak istemiyoruz. Yetkililerin bu duruma müdahale etmesini rica ediyoruz. Saruhanlı/ cengiz topel Mahallesi",,,,
